投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
515403,宝马（进口）,宝马X5,2019款 xDrive40i 尊享型 M运动套装,宝马X5前置雷达与行人辅助故障无法使用,车身附件及电器行车安全辅助系统故障车身附件及电器倒车雷达失灵人员技术多次返修服务流程不完善系统升级问题,2020/8/29,信息审核
515401,众泰汽车,大迈X7,2017款 1.8T 手动 豪华型,众泰大迈X7底盘和车身有大面积生锈现象,车身附件及电器车身生锈服务态度态度蛮横,2020/8/29,信息审核
515400,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 尊贵型 三厢,长安马自达昂克赛拉中控屏开胶厂家拒赔,车身附件及电器部件开裂服务态度不予索赔,2020/8/29,信息审核
515399,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达车机花屏电瓶亏电要求解决,车身附件及电器影音系统故障车身附件及电器电瓶故障,2020/8/29,信息审核
515397,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾车身漏水严重刹车踏板异响,制动系统异响车身附件及电器车身漏水,2020/8/29,信息审核
515390,东风日产,奇骏,2020款 2.0L XE CVT 2WD 时尚版,东风日产奇骏雨刮器位置偏差4S店不解决,车身附件及电器雨刮器故障服务态度不解决问题服务态度态度蛮横,2020/8/29,信息审核
515389,BEIJING汽车,BEIJING-EU5,2019款 R500 智风版,北汽EU5行驶中刹车失灵造成车辆事故,制动系统刹车失灵,2020/8/29,处理反馈
515388,上汽大众,凌渡,2015款 230TSI DSG  风尚版,上汽大众凌渡变速箱机电单元故障要求解决,变速器故障灯亮变速器电脑板故障服务态度不予索赔,2020/8/29,信息审核
515387,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国VI,东风本田INSPIRE转向机异响要求厂家解决,转向系统异响,2020/8/29,处理反馈
515385,江淮汽车,嘉悦A5,2020款 1.5T 手动 精英型,江淮嘉悦A5空调按键失灵 方向盘饰板脱落,车身附件及电器空调问题车身附件及电器部件开裂,2020/8/29,信息审核
515384,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客变速箱无法加速4S店不予保修,变速器无法加速服务态度不予索赔,2020/8/29,信息审核
515380,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,一汽大众奥迪A4L尾灯开裂厂家不予保修,车身附件及电器灯罩裂纹或变形服务态度不予索赔,2020/8/29,信息审核
515377,长城汽车,哈弗F5,2018款 1.5T i潮版,哈弗F5变速箱抖动严重希望给予解决,变速器抖动,2020/8/29,处理反馈
515376,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞刹车盘轴承生锈要求解决,制动系统生锈,2020/8/29,信息审核
515374,长安汽车,长安CS85 COUPE,2019款 1.5T DCT 品版 国VI,长安CS85 COUPE发动机异响 底盘异响,发动机异响前后桥及悬挂系统底盘异响,2020/8/29,信息审核
515371,北京现代,胜达,2019款 380 TGDi DLX 自动 两驱 智尊版 国V,北京现代胜达转向柱异响厂家没有配件,转向系统异响配件争议无零配件,2020/8/29,信息审核
515370,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS大灯灯眉发黄4S店不予解决,车身附件及电器车灯不亮服务态度不予索赔,2020/8/29,信息审核
515369,华晨鑫源,小海狮X30,2018款 1.3L 标准型 DLCG12,金杯小海狮X30刹车失灵要求尽快解决,制动系统刹车失灵,2020/8/29,信息审核
515364,比亚迪,比亚迪G5,2014款 1.5TID 自动 旗舰型,比亚迪G5中控蓝屏失灵要求尽快解决,车身附件及电器影音系统故障,2020/8/29,处理反馈
515362,奇瑞汽车,捷途X70,2018款 1.5T 自动 悦行版,捷途X70发动机抖动怠速不稳 前悬挂异响,发动机抖动发动机怠速不稳前后桥及悬挂系统底盘异响,2020/8/29,处理反馈
515361,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7发动机加速异响变速箱顿挫,发动机异响变速器顿挫,2020/8/29,信息审核
515358,广汽丰田,雷凌双擎E+,2019款 1.8PH GS E-CVT 精英天窗版,广汽丰田雷凌双擎E+车载互联数据错误,车身附件及电器车载互联故障,2020/8/29,信息审核
515356,一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱都市版,一汽丰田rav4荣放右前侧半轴防尘套漏油,前后桥及悬挂系统球笼套漏油,2020/8/29,信息审核
515355,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉安全气囊故障报警,车身附件及电器气囊故障,2020/8/29,信息审核
515354,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响照明,车身附件及电器车灯不亮服务态度故意拖延,2020/8/29,信息审核
515350,广汽菲克菲亚特,菲翔,2015款 1.4T 自动 劲享版,广汽菲亚特菲翔变速箱故障导致无法挂挡,变速器无法换挡变速器故障灯亮变速器无法加速,2020/8/29,信息审核
515348,众泰汽车,众泰T600 Coupe,2017款 1.5T 手动 豪华型,众泰T600 Coupe中控导航系统黑屏无法开机,车身附件及电器影音系统故障服务态度厂家不回复,2020/8/29,信息审核
515347,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 舒适型 三厢 国V,长安马自达昂克赛拉固特异轮胎开裂,轮胎开裂,2020/8/29,信息审核
515344,北京现代,领动,2019款 1.5L CVT 智炫·精英型,北京现代领动空调风口损坏4S店否认质量问题,车身附件及电器空调问题服务态度否认质量问题,2020/8/29,信息审核
515341,雷克萨斯,雷克萨斯ES,2007款 ES350 3.5 AT/MT 标准版 增配型,雷克萨斯ES中控仪表台开裂粘手异味,车身附件及电器车内异味车身附件及电器仪表台开裂,2020/8/29,信息审核
515338,一汽-大众,高尔夫,2016款 1.6L  自动 时尚型,一汽大众高尔夫ABS泵故障服务态度恶劣,制动系统ABS故障服务态度态度蛮横服务态度否认质量问题,2020/8/29,信息审核
515337,长安汽车,睿骋,2014款 1.8T 自动 精英周年版 国IV,长安睿骋车内一直存在异味 空调制冷效果差,车身附件及电器车内异味车身附件及电器空调问题,2020/8/29,信息审核
515333,一汽大众,捷达VS7,2020款 1.4T 自动 荣耀型,捷达VS7前风挡漏水 涡轮增压器生锈,车身附件及电器车身生锈车身附件及电器车身漏水,2020/8/29,信息审核
515332,上汽大众,途观,2016款 300TSI 自动 两驱 豪华版,上汽大众途观顶棚遮阳板天窗漏水望厂家处理,车身附件及电器车身漏水车身附件及电器天窗漏水,2020/8/29,信息审核
515325,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜转向机异响 4S店不予索赔,转向系统异响服务态度不予索赔,2020/8/29,信息审核
515323,东风日产,轩逸,2020款 1.6L XL CVT 智享版,东风日产轩逸中控屏幕黑屏厂家不给解决方案,车身附件及电器影音系统故障服务态度不解决问题,2020/8/29,信息审核
515321,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3离合器异响4S店维修后未解决,离合器异响,2020/8/29,信息审核
515319,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达TIIDA电瓶亏电导致无法启动,车身附件及电器电瓶故障,2020/8/29,信息审核
515313,东风日产,奇骏,2014款 2.0L XE CVT 两驱 时尚版,东风日产奇骏发动机及变速箱低速抖动,发动机抖动变速器顿挫变速器抖动,2020/8/29,信息审核
515305,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L行驶中后轮吃胎偏磨,前后桥及悬挂系统吃胎偏磨服务态度不解决问题,2020/8/29,信息审核
515304,华晨宝马,宝马3系,2019款 320Li M运动曜夜版,华晨宝马3系方向盘抖动希望厂家处理解决,转向系统抖动服务态度互相推诿服务态度否认质量问题,2020/8/29,信息审核
515302,华晨宝马,宝马X3,2020款 xDrive30i 领先型 M运动套装,华晨宝马X3前悬挂异响希望厂家解决,前后桥及悬挂系统减震器异响服务态度态度蛮横,2020/8/29,信息审核
515299,广汽丰田,凯美瑞,2019款 2.0S 锋尚版 国VI,广汽丰田凯美瑞发动机及变速箱故障报警,发动机故障灯亮变速器故障灯亮,2020/8/29,信息审核
515290,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智变速箱钢带断裂4S店不予解决,变速器机械部件故障服务态度不予索赔,2020/8/28,信息审核
515288,一汽大众,捷达VS5,2019款 280TSI 手动 进取型,捷达VS5新车车窗玻璃升降异响无法关闭,车身附件及电器车窗升降故障,2020/8/28,信息审核
515283,东风日产,轩逸,2019款 1.6XE+ CVT 智联豪华版 经典,东风日产轩逸发动机渗油影响正常使用,发动机漏油,2020/8/28,信息审核
515282,野马汽车,野马T80,2017款 1.5T 手动 炫酷版,野马T80鸣笛喇叭不响 灯光接触不良,车身附件及电器车灯不亮车身附件及电器喇叭故障服务态度不解决问题人员技术查不出原因配件争议未按时到货,2020/8/28,处理反馈
515277,一汽红旗,红旗HS5,2019款 2.0T 智联旗享版,红旗HS5行驶中发动机熄火 中控屏重启,发动机熄火制动系统异响车身附件及电器影音系统故障车身附件及电器空调问题,2020/8/28,信息审核
515276,长城汽车,哈弗H2s,2018款 1.5T 双离合 精英型 红标,哈弗H2s变速箱异响要求尽快给予解决,变速器异响人员技术多次返修,2020/8/28,处理反馈
515273,东风标致,标致408,2019款 360THP 自动 豪华版 国VI,东风标致408佳通轮胎胎面凹陷厂家不保修,轮胎凹陷服务态度不予索赔,2020/8/28,信息审核
515271,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁转向卡滞异响 车身不平,转向系统异响转向系统卡滞转向系统打方向沉重制动系统异响前后桥及悬挂系统后桥塌陷前后桥及悬挂系统四轮定位偏差车身附件及电器车身异响车身附件及电器中控台异响,2020/8/28,信息审核
515269,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸车漆鼓包密封条开裂减配严重,车身附件及电器漆面起泡开裂车身附件及电器密封条损坏服务态度厂家不回复其他疑似减配,2020/8/28,信息审核
515268,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代伊兰特转向沉重发动机无法提速,发动机噪音大发动机无法提速转向系统打方向沉重转向系统方向盘不正前后桥及悬挂系统跑偏,2020/8/28,信息审核
515266,领克汽车,领克03,2020款 1.5TD DCT 劲Pro版,领克03车辆无法启动 中控屏不能显示,车身附件及电器影音系统故障车身附件及电器电瓶故障车身附件及电器行车安全辅助系统故障车身附件及电器定速巡航故障,2020/8/28,信息审核
515263,领克汽车,领克03,2019款 1.5TD DCT 劲版 国VI,领克03发动机和减震器异响4S店不予解决,发动机异响前后桥及悬挂系统减震器异响车身附件及电器部件开裂车身附件及电器车载互联故障车身附件及电器车灯进水服务态度不解决问题,2020/8/28,信息审核
515261,一汽丰田,卡罗拉,2017款 1.2T CVT GLX-i 改款,一汽丰田卡罗拉变速箱顿挫4S店不予保修,变速器顿挫服务态度不解决问题服务态度不予索赔服务态度态度蛮横人员技术多次返修,2020/8/28,信息审核
515254,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞半轴防尘套漏油要求解决,前后桥及悬挂系统球笼套漏油服务态度不予索赔,2020/8/28,信息审核
515250,上汽通用五菱,五菱宏光,2013款 1.5L 豪华型L2B,五菱宏光车身生锈严重厂家不予解决,车身附件及电器车身生锈,2020/8/28,处理反馈
515249,广汽乘用车,传祺GS5,2020款 进阶款 270T 自动 豪华版,广汽传祺GS5新车漆面损伤4S店不予解决,销售欺诈出售问题车,2020/8/28,信息审核
515247,郑州日产,风度MX5,2016款 2.0L 手动 精英版,东风风度MX5变速箱无法摘挡4S店不保修,变速器挡把总成故障服务收费变相收费,2020/8/28,信息审核
515245,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408召回维修后发动机烧机油严重,发动机烧机油其他召回方案不合理,2020/8/28,信息审核
515244,北汽新能源,EV系列,2016款 E150EV 经典版,北汽新能源EV系列空调压缩机多次故障,车身附件及电器空调问题配件争议无零配件配件争议配件质量差,2020/8/28,处理反馈
515242,广汽乘用车,传祺GA4,2018款 200T 自动 尊享版,广汽传祺GA4变速箱顿挫严重右前车门异响,变速器顿挫车身附件及电器门窗异响,2020/8/28,信息审核
515241,吉利汽车,帝豪GS,2018款 1.8L 自动 优雅版 领尚型,吉利帝豪GS起步动力消失 变速箱换挡异响,发动机动力消失变速器异响服务态度不解决问题服务态度态度蛮横,2020/8/28,信息审核
515239,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5涡轮增压器生锈 转向异响抖动,发动机缸体生锈转向系统异响转向系统抖动制动系统异响车身附件及电器车身共振,2020/8/28,信息审核
515236,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾变速箱机电控制单元故障,变速器电脑板故障,2020/8/28,信息审核
515235,东风日产,轩逸,2012款 1.6L XE 手动 舒适版 经典,东风日产轩逸转向柱异响十分严重,转向系统异响车身附件及电器车身生锈服务态度不予索赔,2020/8/28,信息审核
515234,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙下雨时发动机舱有泥浆,其他疑似设计缺陷,2020/8/28,信息审核
515228,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾大灯亮度不足要求给予解决,车身附件及电器车灯不亮,2020/8/28,信息审核
515226,路虎进口,揽胜运动版,2020款 3.0 L6 HST,进口路虎揽胜运动版发动机漏防冻液,发动机漏防冻液车身附件及电器影音系统故障,2020/8/28,信息审核
515220,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5变速箱无法加速要求厂家解决,变速器无法加速服务态度不解决问题人员技术多次返修,2020/8/28,信息审核
515219,上汽大众,途岳,2020款 280TSI 两驱 舒适版 国VI,上汽大众途岳4S店出售问题车辆不告知,销售欺诈出售问题车,2020/8/28,信息审核
515216,奇瑞汽车,瑞虎3,2014款 1.6L 手动 风尚版 5座,奇瑞瑞虎3车身生锈漆面开裂严重要求解决,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020/8/28,信息审核
515213,东风日产,轩逸,2020款 改款 1.6L TOP CVT 奢享版,东风日产轩逸车道偏离系统失效4S店未解决,车身附件及电器行车安全辅助系统故障人员技术多次返修服务流程不完善系统升级问题,2020/8/28,信息审核
515212,吉利汽车,博瑞,2015款 1.8T 尊贵型,吉利博瑞转向助力失效卡死要求给予解决,转向系统卡滞转向系统失灵,2020/8/28,信息审核
515211,众泰汽车,众泰T500,2018款 1.5T 自动 尊享型 5座,众泰T500出现质量问题厂家不处理,变速器抖动服务态度不解决问题服务态度不予索赔服务态度态度蛮横服务态度厂家不回复,2020/8/28,信息审核
515208,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾变速箱异响严重要求尽快解决,变速器异响,2020/8/28,信息审核
515206,奥迪（进口）,奥迪A3（进口）,2014款 1.8T DCT Sportback舒适型,进口奥迪A3变速箱换挡机构故障要求召回,变速器挡把总成故障其他厂家不召回,2020/8/28,信息审核
515196,一汽丰田,卡罗拉,2017款 1.2T S-CVT GL 改款,一汽丰田卡罗拉底盘生锈希望厂家处理,车身附件及电器车身生锈,2020/8/28,信息审核
515194,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L节温器故障要求厂家解决,发动机冷却系统故障,2020/8/28,信息审核
515191,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑经销商出售车辆库存时间长,销售欺诈出售库存车,2020/8/28,信息审核
515189,广汽丰田,凯美瑞,2013款 200G 2.0 自动 经典豪华版,广汽丰田凯美瑞中控台出油开裂影响视线,车身附件及电器仪表台开裂,2020/8/28,信息审核
515186,东风日产,轩逸,2020款 1.6L XL CVT 智享版,东风日产轩逸经销商出售问题车保险杠有喷漆,销售欺诈出售问题车,2020/8/28,信息审核
515184,奔驰（进口）,奔驰C级（进口）,2020款 C 260 轿跑车,进口奔驰C级发动机故障灯亮抖动严重,发动机抖动发动机故障灯亮发动机动力消失,2020/8/28,信息审核
515178,观致汽车,观致5,2019款 观致5S 1.6T GDI 尊贵型,观致5影音系统没有声音要求厂家处理,车身附件及电器影音系统故障,2020/8/28,信息审核
515175,一汽-大众,高尔夫·嘉旅,2016款 230TSI 自动 进取型,一汽大众高尔夫嘉旅内饰顶棚处漏水,车身附件及电器车身漏水车身附件及电器车灯进水,2020/8/28,信息审核
515167,BEIJING汽车,绅宝X35,2016款 1.5L 手动 豪华版,北汽绅宝X35转向柱生锈要求尽快解决,车身附件及电器车身生锈,2020/8/28,处理反馈
515166,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌丰云行绑定手机号无法更改,车身附件及电器车载互联故障,2020/8/28,信息审核
515165,东风日产,轩逸,2021款 经典 1.6 XL CVT 豪华版,东风日产轩逸排气管变形4S店不予解决,车身附件及电器部件异常磨损服务态度不解决问题,2020/8/28,信息审核
515162,华晨宝马,宝马3系,2017款 320Li 时尚型,华晨宝马3系发动机水泵漏水要求给予保修,发动机漏防冻液,2020/8/28,信息审核
